city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Streaky Bay,Streaky Bay,-32.7990,134.2048,Australia,AU,AUS,South Australia,,967,1036134944
Laverton,Laverton,-28.6278,122.4031,Australia,AU,AUS,Western Australia,,907,1036624366
Meningie,Meningie,-35.6883,139.3378,Australia,AU,AUS,South Australia,,860,1036445634
Winton,Winton,-22.3913,143.0381,Australia,AU,AUS,Queensland,,856,1036031036
Yulara,Yulara,-25.2069,130.9710,Australia,AU,AUS,Northern Territory,,853,1036245584
Gingin,Gingin,-31.3400,115.9100,Australia,AU,AUS,Western Australia,,852,1036686561
Onslow,Onslow,-21.6400,115.1100,Australia,AU,AUS,Western Australia,,813,1036255184
Bicheno,Bicheno,-41.8667,148.2833,Australia,AU,AUS,Tasmania,,797,1036189642
Wyndham,Wyndham,-15.4825,128.1228,Australia,AU,AUS,Western Australia,,745,1036474435
Roebourne,Roebourne,-20.7667,117.1500,Australia,AU,AUS,Western Australia,,700,1036752479
Pannawonica,Pannawonica,-21.6333,116.3333,Australia,AU,AUS,Western Australia,,685,1036914573
Meekatharra,Meekatharra,-26.5936,118.4953,Australia,AU,AUS,Western Australia,,675,1036608457
Leonora,Leonora,-28.8845,121.3308,Australia,AU,AUS,Western Australia,,657,1036140404
Gawler,Gawler,-34.5981,138.7450,Australia,AU,AUS,South Australia,,650,1036309493
Kimba,Kimba,-33.1396,136.4191,Australia,AU,AUS,South Australia,,608,1036035341
Quilpie,Quilpie,-26.6161,144.2675,Australia,AU,AUS,Queensland,,595,1036696232
Oatlands,Oatlands,-42.3000,147.3706,Australia,AU,AUS,Tasmania,,562,1036926323
Norseman,Norseman,-32.1961,121.7781,Australia,AU,AUS,Western Australia,,555,1036257263
Wilcannia,Wilcannia,-31.5569,143.3792,Australia,AU,AUS,New South Wales,,539,1036134474
Southern Cross,Southern Cross,-31.2306,119.3278,Australia,AU,AUS,Western Australia,,523,1036931490
Karumba,Karumba,-17.4838,140.8397,Australia,AU,AUS,Queensland,,487,1036926106
Kempsey,Kempsey,-31.0833,152.8333,Australia,AU,AUS,New South Wales,,474,1036897003
Mount Magnet,Mount Magnet,-28.0600,117.8461,Australia,AU,AUS,Western Australia,,470,1036327720
Richmond,Richmond,-20.7305,143.1425,Australia,AU,AUS,Queensland,,459,1036156498
Woomera,Woomera,-31.1496,136.8000,Australia,AU,AUS,South Australia,,450,1036392822
Morawa,Morawa,-29.2111,116.0089,Australia,AU,AUS,Western Australia,,443,1036194388
Theodore,Theodore,-24.9472,150.0755,Australia,AU,AUS,Queensland,,438,1036423364
Eidsvold,Eidsvold,-25.3719,151.1230,Australia,AU,AUS,Queensland,,426,1036235197
Three Springs,Three Springs,-29.5333,115.7617,Australia,AU,AUS,Western Australia,,356,1036669084
Ravensthorpe,Ravensthorpe,-33.5817,120.0469,Australia,AU,AUS,Western Australia,,350,1036878618
Pine Creek,Pine Creek,-13.8235,131.8262,Australia,AU,AUS,Northern Territory,,318,1036858004
Andamooka,Andamooka,-30.4485,137.1651,Australia,AU,AUS,South Australia,,262,1036260794
Adelaide River,Adelaide River,-13.2378,131.1047,Australia,AU,AUS,Northern Territory,,243,1036136750
Burketown,Burketown,-17.7408,139.5477,Australia,AU,AUS,Queensland,,238,1036956849
Georgetown,Georgetown,-18.2922,143.5480,Australia,AU,AUS,Queensland,,222,1036412066
Boulia,Boulia,-22.9097,139.9066,Australia,AU,AUS,Queensland,,218,1036512474
Carnarvon,Carnarvon,-24.8672,113.6611,Australia,AU,AUS,Western Australia,,208,1036344209
Thargomindah,Thargomindah,-27.9922,143.8197,Australia,AU,AUS,Queensland,,194,1036793708
Tamworth,Tamworth,-31.0833,150.9167,Australia,AU,AUS,New South Wales,,180,1036233388
Port Pirie,Port Pirie,-33.1858,138.0169,Australia,AU,AUS,South Australia,,176,1036571606
Ivanhoe,Ivanhoe,-32.9164,144.2994,Australia,AU,AUS,New South Wales,,162,1036571526
Camooweal,Camooweal,-19.9211,138.1194,Australia,AU,AUS,Queensland,,152,1036815011
Bedourie,Bedourie,-24.3594,139.4691,Australia,AU,AUS,Queensland,,122,1036680924
Mount Isa,Mount Isa,-20.7261,139.4938,Australia,AU,AUS,Queensland,,118,1036386100
Birdsville,Birdsville,-25.8986,139.3513,Australia,AU,AUS,Queensland,,110,1036830335
Windorah,Windorah,-25.4205,142.6544,Australia,AU,AUS,Queensland,,104,1036272226
Kingoonya,Kingoonya,-30.9170,135.3147,Australia,AU,AUS,South Australia,,4,1036942792
