STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W11,,140.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W12,,223.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W13,,255.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W14,,312.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W15,,189,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W16,,128.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W17,,100.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W18,,52.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W19,,62.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W20,,54.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W21,,40,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W22,,-13.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W23,,-148.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W24,,-80.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W25,,-173.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W26,,-234,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W27,,-148.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W28,,-150.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W29,,-233,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W30,,-124.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W31,,-61.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W32,,-37,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W33,,-5.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W34,,-194.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W35,,-230.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W36,,-156.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W37,,-126,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W38,,-212.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W39,,-47,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W40,,-5.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W41,,-103.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W42,,-87,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W43,,-63.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W44,,16.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W45,,64.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W46,,212.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W47,,90.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W48,,41.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W49,,225.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W50,,57,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W51,,139.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W52,,219,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W53,,125.6,,D,Definition differs,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W01,,149.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W02,,76.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W03,,305.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W04,,111.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W05,,267,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W06,,121.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W07,,113.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W08,,165.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W09,,211,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W10,,219.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W11,,252.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W12,,169.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W13,,203.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W14,,51.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W15,,308,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W16,,291.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W17,,330.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W18,,389.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W19,,270.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W20,,263.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W21,,343,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W22,,190.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W23,,305.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W24,,284.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W25,,219.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W26,,174,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W27,,175.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W28,,246.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W29,,186,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W30,,211.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W31,,61.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W32,,4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W33,,19.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W34,,-87.6,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W35,,-22.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W36,,-31.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W37,,128,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W38,,52.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W39,,337,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W40,,210.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W41,,210.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W42,,266,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W43,,306.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W44,,288.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W45,,215.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W46,,416.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W47,,308.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W48,,341.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W49,,312.8,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W50,,324,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W51,,481.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2021-W52,,381,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2022-W01,,452.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2022-W02,,864.4,,A,Normal value,0,Units
